gene,delta
ARHGEF37,0.0010662956460657513
ARHGEF4,0.0015976139726251448
ARHGEF5,-8.251692317984283e-05
ARHGEF6,-0.0015701414881280629
ARHGEF9,-0.00022984168465445265
ARID3A,-0.0014480746295028046
ARID3B,0.00015243024756828039
ARID5A,-0.0003008576786058814
ARID5B,-0.000652314098773088
ARL10,-0.001115646496475775
ARL14,-0.0010560665735295238
ARL4A,-0.0008033814586279053
ARL4C,0.0004777114793786952
ARL4D,-0.0002982316431098253
ARL6IP5,-0.000196224154557334
ARMC9,0.00012656553923040548
ARMCX1,-0.0015102503830267677
ARMCX2,-0.001456632080837128
ARMCX3,-6.983004542437943e-05
ARMCX6,7.082223696386336e-11
ARNT2,-9.707078708198758e-05
ARNTL,-0.0006651281025492617
ARNTL2,6.402134101646251e-05
ARPC1A,-0.0007537899932801295
ARPC1B,-0.00010085465445719421
ARRB1,-0.0003200931683939867
ARRB2,0.0009638313854476444
ARRDC1,0.0009344669985706933
ARRDC2,-1.440575128264232e-05
ARRDC3,0.00010721547942105225
ARRDC4,0.0021490103616369494
ARSA,-0.0009920023095333352
ARSB,0.00011757926194810864
ARSD,-0.0008046817157854047
ARSE,0.0008536918424304485
ARSI,-0.0006747268294241549
ARSJ,0.00013446536136385578
ARTN,0.001155993629452956
ARVCF,0.0003382128371188786
ASAH1,-0.0011164360790083538
ASAP1,-0.00011526475296674832
ASAP2,-1.7698103558783096e-05
ASAP3,0.0008573156676709992
ASB13,2.78210592522532e-05
ASB2,-0.0018151992320470933
ASB9,0.0017641099949818884
ASCL1,0.0002771858040212516
ASCL2,-0.001420260313640842
ASF1B,-0.00040467826053447453
ASL,-0.002012654241986822
ASMTL,-0.0007937937330159128
ASNS,0.0011874606445277935
ASPH,-8.500079654849557e-05
ASPHD1,-0.00021161434618122144
ASPHD2,0.0002364820061682149
ASPM,-0.0005192517779667449
ASRGL1,-0.0004164672818078863
ASS1,0.0002700115753901944
ATAD2,-0.0014820374202584308
ATAD3B,-5.164214108344112e-06
ATCAY,-0.00012565600538005928
ATF3,0.00013646726017069177
ATF5,2.6018679759265417e-05
ATF7IP2,0.000948291146167568
ATG16L2,0.0009219591105352754
ATHL1,-0.00026248801919870335
ATL1,0.001129276239665189
ATL3,-0.00019852828002631107
ATN1,-0.00011640219626873893
ATOH8,-0.0006648545804537331
ATOX1,0.001508582776666878
ATP10A,0.0009315237610542093
ATP10D,-0.00021968322650878225
ATP11A,-0.0010797942745057743
ATP11C,0.00041517501464372053
ATP13A2,-0.0003698911186554854
ATP1A1,0.0007890901573704978
ATP1A3,-0.0006173105073042917
ATP1B1,0.0008873506695804556
ATP2A3,0.0006333448527192642
ATP2B1,-0.0008249974736934673
ATP2B4,0.0010328598671328626
ATP2C2,4.0651211992037695e-05
ATP6V0A1,0.00014056423596386924
ATP6V0A4,-0.0003536916817440394
ATP6V0E1,-0.000670265058958508
ATP6V0E2,2.0996287513175282e-05
ATP6V1B1,0.00108142849078241
ATP6V1B2,0.0013085776666624804
ATP6V1C2,0.00039974924023555847
ATP7B,0.001001745981812463
ATP8A1,0.0005810943842391447
ATP8B1,0.0003918676293179768
ATP8B2,-0.0012627283989004034
ATP8B3,0.001103363205194663
ATP9A,-0.0007328821536864982
ATRN,-0.0011205505550200279
ATXN1,0.0006534940128185562
AURKA,0.0013186093407122623
AURKB,0.0002442353248270912
AUTS2,0.0006431988363192476
AVPI1,0.0006970041420266693
AXIN2,0.000930620312803998
AXL,-1.610778996674611e-05
AZGP1,-0.001514227516238087
AZU1,0.0011455700497261523
B2M,0.0010221866458466344
B3GALNT1,0.00024913324859621166
B3GALT2,8.798616755245625e-05
