gene,delta
ATL3,-0.0038611117040423526
ATN1,-0.0009015704770566901
ATOH8,-0.005190914635704924
ATOX1,-0.0008480895861450177
ATP10A,0.0067462691304148725
ATP10D,0.0031108265701533244
ATP11A,-0.005544299795763208
ATP11C,0.005248959885120419
ATP13A2,0.0025623560121729727
ATP1A1,0.0017612790026892422
ATP1A3,-0.0005760901285987163
ATP1B1,-0.0006000757310016813
ATP2A3,0.001783977234638967
ATP2B1,0.004119891165519196
ATP2B4,0.0006265144908421671
ATP2C2,0.0007906109876036349
ATP6V0A1,0.0014899383971127556
ATP6V0A4,0.003974028743902458
ATP6V0E1,0.0017588345538516736
ATP6V0E2,-0.0007590535234152651
ATP6V1B1,0.003179018951964596
ATP6V1B2,0.0077127986082743405
ATP6V1C2,0.0007886550431034922
ATP7B,-0.0020220170809722715
ATP8A1,-0.0037946759326180635
ATP8B1,0.0010667379198697202
ATP8B2,0.003822814411667097
ATP8B3,0.00038150046169804774
ATP9A,0.004453484857763534
ATRN,-0.002284413418455533
ATXN1,0.0025635180080978426
AURKA,0.0031391919050792194
AURKB,0.0034897838553735183
AUTS2,0.0005318625436340763
AVPI1,0.0029002636651988545
AXIN2,-0.0026134775025413726
AXL,0.005018545737577651
AZGP1,-0.007919696880244964
AZU1,0.0005078277549352972
B2M,0.004242346776333894
B3GALNT1,-0.002943437305562069
B3GALT2,0.004172343598518313
B3GALT4,0.0015703324761214832
B3GALT5,-6.85734754535261e-08
B3GNT2,0.0009446306112718683
B3GNT3,-0.0022655617745944157
B3GNT7,0.0013500000377290045
B3GNTL1,-0.004937448351621021
B4GALNT1,0.001349589771313997
B4GALNT3,0.0025148889023549614
B4GALNT4,-0.003018071288205748
B4GALT1,-0.004311899843072009
B4GALT4,-0.0025048057235834142
B4GALT5,-0.0010591184407157672
B4GALT6,-0.0007178414917904941
B9D1,0.00036614605349793994
BAALC,0.00037310918398930637
BACE1,0.005966680140810643
BACE2,0.003701318240291407
BACH2,0.003784627824578668
BAG1,0.0048394205770374565
BAG2,-0.0026098991927123727
BAG3,0.004461870932744194
BAIAP2,-0.00031784728714218113
BAIAP2L1,0.003879314641640652
BAIAP2L2,-0.004062176434099507
BAIAP3,0.00274519389248995
BAMBI,-0.004952006419486399
BANK1,0.007870642012928253
BARX1,0.0052030129689443205
BARX2,0.0014554007062823615
BASP1,0.010383298113857853
BATF,0.004408149269808481
BATF2,0.0002288204807733285
BATF3,0.0008680582980630236
BBC3,0.0055928922724555186
BBS5,-6.85734754535261e-08
BCAM,-0.004266054041592027
BCAR1,0.0007038461940072627
BCAR3,-0.004767227326879064
BCAS1,0.0038041210883653642
BCAS4,0.005921743735766649
BCAT1,0.0014191189285092665
BCHE,-0.003357885850067077
BCL11A,-0.0024061589001897477
BCL11B,-0.004988145870077509
BCL2,-0.0007582969624579938
BCL2A1,0.0026129933952472317
BCL2L1,0.007880608670781775
BCL2L11,-0.002470504656096828
BCL2L12,-0.010124074999555643
BCL2L15,-0.0018887742398679408
BCL2L2,-7.481478653259543e-08
BCL3,-0.0018106947764818249
BCL6,0.00039969654304872204
BCL7A,0.00933960617437668
BCL9,-0.0022393716471421077
BCL9L,-0.007728925564281397
BCOR,-0.005135623897239261
BCR,-0.0060026988987506025
BDH1,0.0019416321046036855
BDH2,0.0032870912690052267
BDNF,-0.006278292021167087
BEND5,-6.85734754535261e-08
BEND7,-2.555032186013495e-05
BEX1,0.005483443770718133
BEX2,0.006893403075601046
BEX4,0.004072981007608056
BEX5,0.0004054958937415032
BGN,-0.0013075552106716626
BHLHE22,0.0005822406679950043
BHLHE40,-0.003819304704356985
BHLHE41,-0.005949524392160621
BHMT2,0.0013827951359372537
BICC1,0.005189336807181144
BID,-0.0012587391453986463
BIK,-0.0004597862524017837
BIN1,0.0020996746612290673
BIN2,-0.0013588354007759706
BIRC2,0.0008932513961902866
BIRC3,-0.002177981999259504
BIRC7,-0.0006060182660669322
BIVM,0.00158200232796335
BLCAP,-0.0013473566385545643
BLK,0.0019505939389684035
BLM,0.0009568530181368051
BLMH,-0.0011221774845902033
BLNK,0.0025207783198704647
BLVRA,-0.0006581594813921399
BLVRB,-0.00010090121497685622
BMF,0.0038774403182293415
BMI1,-0.004778799936269507
BMP1,-0.0025390993881865276
BMP2,0.0016423277138470915
BMP4,-0.0023616341459731793
BMP6,0.0021421343004415228
BMP7,-0.001399646836017121
BMP8B,-0.0003242616784606134
BMPER,0.0012613386838444263
BMPR2,-0.0033071458712341517
BNC1,0.0003176979277953462
BNC2,-0.003031167341750518
BNIP3,0.0036857349732286604
BNIP3L,-0.01195450746006399
BOC,-0.00044397945528246163
BOK,0.00207309284839563
BOLA1,0.0029216104562544976
BOP1,-6.85734754535261e-08
BPGM,-0.007012496685260994
BRI3,0.0040515089323076015
BRI3BP,0.0009605930553511777
BRSK1,0.0011767000496928914
BRSK2,-0.0034358517708479863
BSCL2,-6.85734754535261e-08
BSPRY,0.007110354792759566
BST1,0.0006630163481336493
BST2,-0.0029236843840489413
BTBD11,0.0014898344106133998
BTBD19,-0.002763940050647784
BTBD3,0.0008941835621361638
BTBD6,0.0035169075165536468
BTC,0.004385243659709381
BTG1,-2.978940462083912e-07
BTG2,0.0038438710985718716
BTG3,-0.0033450144009964933
BTK,0.0003913876191587451
BTN2A2,-0.000565599176997722
BTN3A1,-0.004399408189675658
BTN3A2,-0.005241525368925581
BTN3A3,-0.0009443901101337526
BTNL9,-0.0031769074541416753
BUB1B,-6.85734754535261e-08
BVES,-0.0013219584763058956
BZRAP1,0.005098485738298852
BZW2,0.0023227565199265277
C10orf10,-0.003993039836312384
C10orf35,0.0031593082235977787
C10orf54,-0.004459123766745732
C10orf99,0.0009483752870349527
C11orf21,-0.0019293179733549937
C11orf24,0.003740788034834408
C11orf68,0.005257040491258802
C11orf74,-0.0029650116080364164
C12orf57,0.00526153160587256
C12orf75,0.0004787577666174325
C14orf132,3.5291205957577176e-08
C14orf159,0.0024474785541021005
C15orf39,-0.0018539408857621287
C15orf48,0.005096405629768375
C15orf52,0.002954191079992452
C16orf45,0.004102678806210014
C16orf54,-0.008969186038241095
C16orf62,0.00027381964776235224
C16orf74,-0.00246310554517698
C17orf51,-0.0012193343411605606
C17orf96,0.0039307280032906955
C18orf32,-6.857347539801495e-08
C19orf33,0.000576203784368734
C19orf57,-0.0023250369080043964
C19orf60,-0.002867742767649284
C19orf66,4.3538058665137935e-05
C19orf71,0.0036835197113193052
C1GALT1C1,0.002316942686113155
C1QL1,5.034936757020159e-06
C1QL4,0.0002512706261945663
C1QTNF1,0.0022283508420141707
C1QTNF6,0.0014718231758271694
C1R,-0.000792552078207942
C1RL,-0.007037402043573504
C1S,-0.0033635432059160864
C1orf106,-6.85734754535261e-08
C1orf115,-3.656897485437849e-06
C1orf116,-0.0004986165497754547
C1orf186,0.0009152411152884565
C1orf198,-0.0017378827904159233
C1orf21,-0.0032861185233188372
C1orf210,0.003952476280808304
C1orf216,0.003953133355738936
C1orf228,0.0026915722455639335
C1orf54,0.0036369646522336208
C1orf56,0.009519909485721956
C20orf194,0.0007867964858672694
C20orf24,-0.009096405474261715
C20orf96,-0.0005495978080825581
C21orf58,-0.0023888667189408963
C21orf91,0.002296201960175659
C2CD2,-0.0009553434914926773
C2orf48,-0.0002807319142996145
C2orf54,0.0020853819442309685
C2orf72,-0.001095884463342911
C3,-0.00313215299345021
C3orf14,-0.0018881848896588616
C3orf18,-0.007443155296887771
C3orf52,0.0026593156277298635
C3orf58,0.003921107267001345
C4BPB,0.0007101229066482362
C4orf32,-0.0008032530390367221
C4orf46,0.002861563219849539
C4orf48,0.005657825680215778
C5,-0.006382875699348811
C5orf30,0.006923183113679121
C5orf38,0.0058408872344659635
C5orf42,0.002215965124030883
C5orf46,-0.007699211724439214
C6orf1,0.0012969362692101805
C6orf132,-6.857347539801495e-08
C6orf141,-0.00568009770142841
C6orf15,0.0007171973982644797
C6orf223,-0.004633185042926369
C6orf226,-0.006062334819183279
C6orf48,-0.002553887894768625
C7orf50,-0.000955932165934481
C8orf4,-0.00641326450105989
C8orf58,-0.004951047480994897
C9orf116,-0.005628402220788642
C9orf152,-0.003156684925215203
C9orf3,0.00818607838941865
C9orf64,-0.0007777307793354615
C9orf72,-0.0015784303046657011
CA11,-0.002040433515143325
CA12,0.0018643235380991219
CA14,-0.00011111373307609584
CA2,-0.007089708792174632
CA8,0.0005143279352293195
CA9,-0.008295056599111006
CAB39L,-0.0025244095452883197
CABLES1,0.0017508912062014215
CABYR,-0.0015911395521065463
CACHD1,-0.0047554455865896905
CACNA1A,-0.0033065574230186634
CACNA1H,0.0019411619275840897
CACNA2D1,-0.0013244502373507272
CACNA2D2,-0.004354500869802991
CACNA2D4,0.005696395940593235
CACNB3,0.002307211779428553
CACNG4,-0.002755853934013619
CACNG6,-0.005626799211657707
CACNG7,-0.0005637456728075918
CADM1,0.004935734838940775
CADM3,-0.0018103034694663678
CADM4,-0.001336968271888006
CADPS,0.0011551401732249889
CADPS2,-0.007062695585613288
CALB1,-0.0054235297777446845
CALB2,-0.004591457588973891
CALCA,-0.003849912488870788
CALCB,-0.006581298389918888
CALCOCO1,-0.0031678127355415087
CALCRL,0.0011148154697450674
CALD1,0.0015092246893130268
CALHM2,-0.0008014504282758406
CALML3,0.005702281860846592
CALML4,0.003379831124944277
CALU,0.0006906269410280608
CAMK1,-0.003155109520175392
CAMK1D,0.006984168817265712
CAMK2D,0.008549856817792356
CAMK2N1,-0.0014349666147880913
CAMK2N2,-0.0014042763735236385
CAMK4,-0.001023040669266062
CAMKK1,-0.0012179548268735907
CAMKV,-0.0018782299964904547
CAND2,0.007983478283635381
CAP2,0.00449927256350191
CAPG,0.006396140248725202
CAPN1,0.0019970416863617224
CAPN2,0.005924205786704606
CAPN3,-2.9789404615288007e-07
CAPN5,-0.008400784130028205
CAPN6,0.00017541534548404236
CAPN8,0.008013330032077048
CAPNS2,-3.339334422869378e-07
CAPRIN2,-0.002668830361435448
CAPS,0.00345340495934654
CARD10,-0.0030993016247767846
CARD11,-0.0008114237939310653
CARD16,-6.857347539801495e-08
